ray_index,p1_x,p1_y,p2_x,p2_y,brightness_s,brightness_p,brightness_total,wavelength,gap,length
0,0.0000,300.0000,0.0000,10300.0000,0.500000,0.500000,1.000000,,True,10000.0000
1,0.0000,300.0000,418.7565,10291.2283,0.500000,0.500000,1.000000,,False,10000.0000
2,0.0000,300.0000,836.7784,10264.9286,0.500000,0.500000,1.000000,,False,10000.0000
3,0.0000,300.0000,1253.3323,10221.1470,0.500000,0.500000,1.000000,,False,10000.0000
4,0.0000,300.0000,1667.6875,10159.9604,0.500000,0.500000,1.000000,,False,10000.0000
5,0.0000,300.0000,2079.1169,10081.4760,0.500000,0.500000,1.000000,,False,10000.0000
6,0.0000,300.0000,2486.8989,9985.8316,0.500000,0.500000,1.000000,,False,10000.0000
7,0.0000,300.0000,2890.3180,9873.1950,0.500000,0.500000,1.000000,,False,10000.0000
8,0.0000,300.0000,3288.6665,9743.7637,0.500000,0.500000,1.000000,,False,10000.0000
9,0.0000,300.0000,3681.2455,9597.7649,0.500000,0.500000,1.000000,,False,10000.0000
10,0.0000,300.0000,4067.3664,9435.4546,0.500000,0.500000,1.000000,,False,10000.0000
11,0.0000,300.0000,4446.3518,9257.1176,0.500000,0.500000,1.000000,,False,10000.0000
12,0.0000,300.0000,4817.5367,9063.0668,0.500000,0.500000,1.000000,,False,10000.0000
13,0.0000,300.0000,5180.2701,8853.6426,0.500000,0.500000,1.000000,,False,10000.0000
14,0.0000,300.0000,5533.9155,8629.2124,0.500000,0.500000,1.000000,,False,10000.0000
15,0.0000,300.0000,5877.8525,8390.1699,0.500000,0.500000,1.000000,,False,10000.0000
16,0.0000,300.0000,6211.4778,8136.9346,0.500000,0.500000,1.000000,,False,10000.0000
17,0.0000,300.0000,6534.2060,7869.9506,0.500000,0.500000,1.000000,,False,10000.0000
18,0.0000,300.0000,6845.4711,7589.6863,0.500000,0.500000,1.000000,,False,10000.0000
19,0.0000,300.0000,7144.7268,7296.6334,0.500000,0.500000,1.000000,,False,10000.0000
20,0.0000,300.0000,7431.4483,6991.3061,0.500000,0.500000,1.000000,,False,10000.0000
21,0.0000,300.0000,7705.1324,6674.2399,0.500000,0.500000,1.000000,,False,10000.0000
22,0.0000,300.0000,7965.2992,6345.9911,0.500000,0.500000,1.000000,,False,10000.0000
23,0.0000,300.0000,8211.4921,6007.1357,0.500000,0.500000,1.000000,,False,10000.0000
24,0.0000,300.0000,300.0000,490.3858,0.500000,0.500000,1.000000,,False,355.3122
25,0.0000,300.0000,300.0000,473.2051,0.500000,0.500000,1.000000,,False,346.4102
26,0.0000,300.0000,300.0000,456.8362,0.500000,0.500000,1.000000,,False,338.5227
27,0.0000,300.0000,300.0000,441.1693,0.500000,0.500000,1.000000,,False,331.5551
28,0.0000,300.0000,300.0000,426.1084,0.500000,0.500000,1.000000,,False,325.4279
29,0.0000,300.0000,202.3457,375.2517,0.500000,0.500000,1.000000,,False,215.8856
30,0.0000,300.0000,194.3156,363.1370,0.500000,0.500000,1.000000,,False,204.3155
31,0.0000,300.0000,188.2853,352.5702,0.500000,0.500000,1.000000,,False,195.4865
32,0.0000,300.0000,183.5504,343.0514,0.500000,0.500000,1.000000,,False,188.5316
33,0.0000,300.0000,179.7289,334.2851,0.500000,0.500000,1.000000,,False,182.9698
34,0.0000,300.0000,176.5903,326.0766,0.500000,0.500000,1.000000,,False,178.5052
35,0.0000,300.0000,173.9854,318.2866,0.500000,0.500000,1.000000,,False,174.9437
36,0.0000,300.0000,171.8134,310.8096,0.500000,0.500000,1.000000,,False,172.1532
37,0.0000,300.0000,170.0046,303.5611,0.500000,0.500000,1.000000,,False,170.0419
38,0.0000,300.0000,168.5098,296.4702,0.500000,0.500000,1.000000,,False,168.5468
39,0.0000,300.0000,167.2954,289.4747,0.500000,0.500000,1.000000,,False,167.6262
40,0.0000,300.0000,166.3392,282.5170,0.500000,0.500000,1.000000,,False,167.2554
41,0.0000,300.0000,165.6288,275.5421,0.500000,0.500000,1.000000,,False,167.4249
42,0.0000,300.0000,165.1608,268.4939,0.500000,0.500000,1.000000,,False,168.1390
43,0.0000,300.0000,164.9404,261.3136,0.500000,0.500000,1.000000,,False,169.4166
44,0.0000,300.0000,164.9826,253.9360,0.500000,0.500000,1.000000,,False,171.2926
45,0.0000,300.0000,165.3142,246.2862,0.500000,0.500000,1.000000,,False,173.8216
46,0.0000,300.0000,165.9771,238.2737,0.500000,0.500000,1.000000,,False,177.0835
47,0.0000,300.0000,167.0356,229.7847,0.500000,0.500000,1.000000,,False,181.1935
48,0.0000,300.0000,300.0000,158.8307,0.500000,0.500000,1.000000,,False,331.5551
49,0.0000,300.0000,300.0000,143.1638,0.500000,0.500000,1.000000,,False,338.5227
50,0.0000,300.0000,300.0000,126.7949,0.500000,0.500000,1.000000,,False,346.4102
51,0.0000,300.0000,300.0000,109.6142,0.500000,0.500000,1.000000,,False,355.3122
52,0.0000,300.0000,8211.4921,-5407.1357,0.500000,0.500000,1.000000,,False,10000.0000
53,0.0000,300.0000,7965.2992,-5745.9911,0.500000,0.500000,1.000000,,False,10000.0000
54,0.0000,300.0000,7705.1324,-6074.2399,0.500000,0.500000,1.000000,,False,10000.0000
55,0.0000,300.0000,7431.4483,-6391.3061,0.500000,0.500000,1.000000,,False,10000.0000
56,0.0000,300.0000,7144.7268,-6696.6334,0.500000,0.500000,1.000000,,False,10000.0000
57,0.0000,300.0000,6845.4711,-6989.6863,0.500000,0.500000,1.000000,,False,10000.0000
58,0.0000,300.0000,6534.2060,-7269.9506,0.500000,0.500000,1.000000,,False,10000.0000
59,0.0000,300.0000,6211.4778,-7536.9346,0.500000,0.500000,1.000000,,False,10000.0000
60,0.0000,300.0000,5877.8525,-7790.1699,0.500000,0.500000,1.000000,,False,10000.0000
61,0.0000,300.0000,5533.9155,-8029.2124,0.500000,0.500000,1.000000,,False,10000.0000
62,0.0000,300.0000,5180.2701,-8253.6426,0.500000,0.500000,1.000000,,False,10000.0000
63,0.0000,300.0000,4817.5367,-8463.0668,0.500000,0.500000,1.000000,,False,10000.0000
64,0.0000,300.0000,4446.3518,-8657.1176,0.500000,0.500000,1.000000,,False,10000.0000
