ray_index,p1_x,p1_y,p2_x,p2_y,brightness_s,brightness_p,brightness_total,wavelength,gap,length
0,0.0000,300.0000,0.0000,10300.0000,0.500000,0.500000,1.000000,,True,10000.0000
1,0.0000,300.0000,418.7565,10291.2283,0.500000,0.500000,1.000000,,False,10000.0000
2,0.0000,300.0000,836.7784,10264.9286,0.500000,0.500000,1.000000,,False,10000.0000
3,0.0000,300.0000,1253.3323,10221.1470,0.500000,0.500000,1.000000,,False,10000.0000
4,0.0000,300.0000,1667.6875,10159.9604,0.500000,0.500000,1.000000,,False,10000.0000
5,0.0000,300.0000,2079.1169,10081.4760,0.500000,0.500000,1.000000,,False,10000.0000
6,0.0000,300.0000,2486.8989,9985.8316,0.500000,0.500000,1.000000,,False,10000.0000
7,0.0000,300.0000,2890.3180,9873.1950,0.500000,0.500000,1.000000,,False,10000.0000
8,0.0000,300.0000,3288.6665,9743.7637,0.500000,0.500000,1.000000,,False,10000.0000
9,0.0000,300.0000,3681.2455,9597.7649,0.500000,0.500000,1.000000,,False,10000.0000
10,0.0000,300.0000,4067.3664,9435.4546,0.500000,0.500000,1.000000,,False,10000.0000
11,0.0000,300.0000,4446.3518,9257.1176,0.500000,0.500000,1.000000,,False,10000.0000
12,0.0000,300.0000,4817.5367,9063.0668,0.500000,0.500000,1.000000,,False,10000.0000
13,0.0000,300.0000,5180.2701,8853.6426,0.500000,0.500000,1.000000,,False,10000.0000
14,0.0000,300.0000,5533.9155,8629.2124,0.500000,0.500000,1.000000,,False,10000.0000
15,0.0000,300.0000,5877.8525,8390.1699,0.500000,0.500000,1.000000,,False,10000.0000
16,0.0000,300.0000,6211.4778,8136.9346,0.500000,0.500000,1.000000,,False,10000.0000
17,0.0000,300.0000,6534.2060,7869.9506,0.500000,0.500000,1.000000,,False,10000.0000
18,0.0000,300.0000,6845.4711,7589.6863,0.500000,0.500000,1.000000,,False,10000.0000
19,0.0000,300.0000,100.0000,397.9272,0.500000,0.500000,1.000000,,False,139.9634
20,0.0000,300.0000,100.0000,390.0404,0.500000,0.500000,1.000000,,False,134.5633
21,0.0000,300.0000,100.0000,382.7272,0.500000,0.500000,1.000000,,False,129.7836
22,0.0000,300.0000,100.0000,375.9041,0.500000,0.500000,1.000000,,False,125.5446
23,0.0000,300.0000,100.0000,369.5018,0.500000,0.500000,1.000000,,False,121.7805
24,0.0000,300.0000,100.0000,363.4619,0.500000,0.500000,1.000000,,False,118.4374
25,0.0000,300.0000,100.0000,357.7350,0.500000,0.500000,1.000000,,False,115.4701
26,0.0000,300.0000,100.0000,352.2787,0.500000,0.500000,1.000000,,False,112.8409
27,0.0000,300.0000,100.0000,347.0564,0.500000,0.500000,1.000000,,False,110.5184
28,0.0000,300.0000,100.0000,342.0361,0.500000,0.500000,1.000000,,False,108.4760
29,0.0000,300.0000,100.0000,337.1897,0.500000,0.500000,1.000000,,False,106.6915
30,0.0000,300.0000,100.0000,332.4920,0.500000,0.500000,1.000000,,False,105.1462
31,0.0000,300.0000,100.0000,327.9205,0.500000,0.500000,1.000000,,False,103.8246
32,0.0000,300.0000,100.0000,323.4548,0.500000,0.500000,1.000000,,False,102.7138
33,0.0000,300.0000,100.0000,319.0760,0.500000,0.500000,1.000000,,False,101.8032
34,0.0000,300.0000,100.0000,314.7667,0.500000,0.500000,1.000000,,False,101.0844
35,0.0000,300.0000,100.0000,310.5104,0.500000,0.500000,1.000000,,False,100.5508
36,0.0000,300.0000,100.0000,306.2915,0.500000,0.500000,1.000000,,False,100.1977
37,0.0000,300.0000,100.0000,302.0947,0.500000,0.500000,1.000000,,False,100.0219
38,0.0000,300.0000,100.0000,297.9053,0.500000,0.500000,1.000000,,False,100.0219
39,0.0000,300.0000,100.0000,293.7085,0.500000,0.500000,1.000000,,False,100.1977
40,0.0000,300.0000,100.0000,289.4896,0.500000,0.500000,1.000000,,False,100.5508
41,0.0000,300.0000,100.0000,285.2333,0.500000,0.500000,1.000000,,False,101.0844
42,0.0000,300.0000,100.0000,280.9240,0.500000,0.500000,1.000000,,False,101.8032
43,0.0000,300.0000,100.0000,276.5452,0.500000,0.500000,1.000000,,False,102.7138
44,0.0000,300.0000,100.0000,272.0795,0.500000,0.500000,1.000000,,False,103.8246
45,0.0000,300.0000,100.0000,267.5080,0.500000,0.500000,1.000000,,False,105.1462
46,0.0000,300.0000,100.0000,262.8103,0.500000,0.500000,1.000000,,False,106.6915
47,0.0000,300.0000,100.0000,257.9639,0.500000,0.500000,1.000000,,False,108.4760
48,0.0000,300.0000,100.0000,252.9436,0.500000,0.500000,1.000000,,False,110.5184
49,0.0000,300.0000,100.0000,247.7213,0.500000,0.500000,1.000000,,False,112.8409
50,0.0000,300.0000,100.0000,242.2650,0.500000,0.500000,1.000000,,False,115.4701
51,0.0000,300.0000,100.0000,236.5381,0.500000,0.500000,1.000000,,False,118.4374
52,0.0000,300.0000,100.0000,230.4982,0.500000,0.500000,1.000000,,False,121.7805
53,0.0000,300.0000,100.0000,224.0959,0.500000,0.500000,1.000000,,False,125.5446
54,0.0000,300.0000,100.0000,217.2728,0.500000,0.500000,1.000000,,False,129.7836
55,0.0000,300.0000,100.0000,209.9596,0.500000,0.500000,1.000000,,False,134.5633
56,0.0000,300.0000,100.0000,202.0728,0.500000,0.500000,1.000000,,False,139.9634
57,0.0000,300.0000,6845.4711,-6989.6863,0.500000,0.500000,1.000000,,False,10000.0000
58,0.0000,300.0000,6534.2060,-7269.9506,0.500000,0.500000,1.000000,,False,10000.0000
59,0.0000,300.0000,6211.4778,-7536.9346,0.500000,0.500000,1.000000,,False,10000.0000
60,0.0000,300.0000,5877.8525,-7790.1699,0.500000,0.500000,1.000000,,False,10000.0000
61,0.0000,300.0000,5533.9155,-8029.2124,0.500000,0.500000,1.000000,,False,10000.0000
62,0.0000,300.0000,5180.2701,-8253.6426,0.500000,0.500000,1.000000,,False,10000.0000
63,0.0000,300.0000,4817.5367,-8463.0668,0.500000,0.500000,1.000000,,False,10000.0000
64,0.0000,300.0000,4446.3518,-8657.1176,0.500000,0.500000,1.000000,,False,10000.0000
65,0.0000,300.0000,4067.3664,-8835.4546,0.500000,0.500000,1.000000,,False,10000.0000
