ray_index,p1_x,p1_y,p2_x,p2_y,brightness_s,brightness_p,brightness_total,wavelength,gap,length
0,272.0000,4.0000,255.1282,17.2564,0.500000,0.500000,1.000000,,True,21.4567
1,255.1282,17.2564,9915.6107,-2566.3610,0.038971,0.035444,0.074415,,False,10000.0000
2,255.1282,17.2564,197.3589,55.0000,0.461029,0.464556,0.925585,,False,69.0063
3,197.3589,55.0000,184.3729,46.5156,0.017747,0.005492,0.023239,,False,15.5120
4,197.3589,55.0000,183.6923,61.0000,0.443282,0.459063,0.902345,,False,14.9257
5,184.3729,46.5156,-9815.5047,-2.9704,0.012486,0.005478,0.017964,,False,10000.0000
6,183.6923,61.0000,170.0256,55.0000,0.017064,0.005428,0.022491,,False,14.9257
7,183.6923,61.0000,171.0378,69.2678,0.426218,0.453636,0.879854,,False,15.1160
8,170.0256,55.0000,168.7314,54.1544,0.016407,0.005363,0.021770,,False,1.5460
9,171.0378,69.2678,195.1853,61.0000,0.033487,0.031886,0.065373,,False,25.5237
10,171.0378,69.2678,-7647.0906,6304.3996,0.392731,0.421750,0.814481,,False,10000.0000
11,168.7314,54.1544,-9831.1461,4.6684,0.011543,0.005349,0.016892,,False,10000.0000
12,195.1853,61.0000,241.9658,77.0171,0.033487,0.031886,0.065373,,False,49.4466
13,241.9658,77.0171,247.1606,61.0000,0.033487,0.031886,0.065373,,False,16.8384
14,247.1606,61.0000,249.3113,55.0000,0.033403,0.031836,0.065239,,False,6.3738
15,249.3113,55.0000,259.0250,25.0499,0.033320,0.031786,0.065106,,False,31.4859
16,259.0250,25.0499,240.9784,18.8710,0.033320,0.031786,0.065106,,False,19.0750
17,240.9784,18.8710,228.5098,55.0000,0.033320,0.031786,0.065106,,False,38.2200
18,228.5098,55.0000,226.2181,61.0000,0.033234,0.031738,0.064972,,False,6.4228
19,226.2181,61.0000,216.2536,89.8732,0.033149,0.031690,0.064839,,False,30.5443
20,216.2536,89.8732,174.5502,76.4599,0.033149,0.031690,0.064839,,False,43.8074
21,174.5502,76.4599,180.2111,61.0000,0.033149,0.031690,0.064839,,False,16.4637
22,180.2111,61.0000,182.6464,55.0000,0.033061,0.031644,0.064705,,False,6.4754
23,182.6464,55.0000,186.0537,45.6947,0.032974,0.031598,0.064572,,False,9.9095
24,186.0537,45.6947,214.9847,55.0000,0.032974,0.031598,0.064572,,False,30.3907
25,214.9847,55.0000,265.8241,38.6482,0.032974,0.031598,0.064572,,False,53.4044
26,265.8241,38.6482,10076.9972,-1895.4882,0.030310,0.029443,0.059753,,False,10000.0000
