ray_index,p1_x,p1_y,p2_x,p2_y,brightness_s,brightness_p,brightness_total,wavelength,gap,length
0,272.0000,4.0000,255.1282,17.2564,0.500000,0.500000,1.000000,,True,21.4567
1,255.1282,17.2564,9915.6107,-2566.3610,0.021123,0.018905,0.040028,,False,10000.0000
2,255.1282,17.2564,199.7228,55.0000,0.478877,0.481095,0.959972,,False,67.0398
3,199.7228,55.0000,186.0592,45.6920,0.478877,0.481095,0.959972,,False,16.5328
4,186.0592,45.6920,185.4610,55.0000,0.049501,0.002495,0.051996,,False,9.3272
5,186.0592,45.6920,-9428.7848,-2702.9029,0.429376,0.478600,0.907976,,False,10000.0000
6,185.4610,55.0000,184.8811,61.0000,0.047497,0.002396,0.049893,,False,6.0280
7,184.8811,61.0000,182.8017,93.3559,0.045573,0.002301,0.047874,,False,32.4227
8,182.8017,93.3559,194.0131,100.9934,0.045573,0.002301,0.047874,,False,13.5656
9,194.0131,100.9934,9784.5105,2933.3704,0.041050,0.002287,0.043337,,False,10000.0000
